Activity Type,Date,Favorite,Title,Distance,Calories,Total Time,Avg HR,Max HR,Aerobic TE,Avg Bike Cadence,Max Bike Cadence,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Stride Length,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Total Strokes,Avg. Swolf,Avg Stroke Rate,Steps,Decompression,Best Lap Time,Number of Laps,Total Runs,Longest Run,Max Speed,Active Time,Total Run Distance,Avg Run Speed,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Cardio,2025-02-17 07:25:48,false,"Bristol Cardio","0.05","470","00:54:23","125","191","2.3","--","--","0.1","5.8","--","--","--","--","--","0.0","--","--","--","--","--","1,114","No","00:54:23","1","--","--","--","--","--","--","00:00:34","00:54:23","84","95"
Walking,2025-02-15 18:55:58,false,"Taghazout Walking","2.16","315","00:26:49","144","168","2.5","102","214","12:26","10:05","113","20","0.79","--","--","0.0","--","--","--","--","--","2,816","No","00:06:11.2","2","--","--","--","--","--","--","00:24:45","00:26:49","256","356"
Running,2025-02-15 18:30:01,false,"Taghazout Running","5.01","433","00:24:59","174","188","4.0","158","167","4:59","4:21","24","126","1.27","5:09","492","0.0","479","790","--","--","--","3,942","No","00:00:50.8","4","--","--","--","--","--","--","00:24:57","00:24:59","263","381"
Cardio,2025-02-15 08:03:51,false,"Taghazout Cardio","0.05","265","00:56:50","92","130","0.4","--","--","0.1","--","--","--","--","--","--","0.0","--","--","--","--","--","86","No","00:56:50","1","--","--","--","--","--","--","00:00:00","00:56:50","336","375"
Surfing,2025-02-14 13:00:00,false,"Surfing K12","0.00","1,071","02:30:00","140","180","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","No","02:30:00","1","3","--","--","--","--","--","--:--:--","02:30:00","--","--"
Surfing,2025-02-13 13:00:00,false,"Desert Point Surfing","0.00","788","02:30:00","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","No","02:30:00","1","--","--","--","--","--","--","--:--:--","02:30:00","--","--"
Yoga,2025-02-13 08:00:00,false,"Yoga","0.00","330","00:55:00","100","140","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","No","00:55:00","1","--","--","--","--","--","--","--:--:--","00:55:00","--","--"
Surfing,2025-02-12 12:30:28,false,"Tamri Surfing","3.70","1,425","02:14:41","146","186","4.0","--","--","1.6","92.7","--","--","--","--","--","0.0","--","--","--","--","--","--","No","02:14:41","1","6","61","33.0","2:55.6","0.23","18.1","00:15:27","02:14:41","--","--"
Cardio,2025-02-12 08:05:11,false,"Yoga","0.15","334","00:55:48","102","144","1.3","--","--","0.2","72.9","6","--","--","--","--","0.0","--","--","--","--","--","70","No","00:55:48","1","--","--","--","--","--","--","00:00:25","00:55:48","319","384"
Running,2025-02-11 09:35:18,false,"Taghazout Running","11.30","1,169","01:54:52","137","168","3.1","105","247","10:10","5:41","186","219","1.01","10:27","264","0.0","202","565","--","--","--","12,390","No","00:00:18.9","8","--","--","--","--","--","--","01:38:36","02:10:44","211","360"
Surfing,2025-02-10 12:00:00,false,"Desert Point Surfing","0.00","1,260","04:00:00","145","185","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","No","04:00:00","1","8","40","30.0","4:00:00","--","--","--:--:--","04:00:00","--","--"
Cardio,2025-02-08 13:27:58,false,"Bristol Cardio","0.00","312","00:45:12","118","164","2.0","--","--","--","5.1","18","21","--","--","--","0.0","--","--","--","--","--","--","No","00:45:12","1","--","--","--","--","--","--","00:00:04","00:45:12","86","91"
Running,2025-02-05 16:53:36,false,"Taunton Deane Running","3.65","306","00:18:47","170","190","3.5","158","169","5:09","4:26","29","31","1.23","5:10","489","0.0","479","643","--","--","--","2,666","No","00:01:57","3","--","--","--","--","--","--","00:18:47","00:18:48","43","58"
Treadmill Running,2025-01-31 12:51:04,false,"Treadmill Running","10.13","899","00:58:46","163","186","4.6","157","167","5:48","4:12","--","--","1.10","--","420","0.0","413","615","--","--","--","9,194","No","00:02:43.9","7","--","--","--","--","--","--","00:58:19","00:58:46","--","--"
Cardio,2025-01-29 14:32:58,false,"Cardio","0.00","375","00:50:12","116","147","1.2","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","674","No","00:50:12","1","--","--","--","--","--","--","00:00:00","00:50:12","66","75"
